Date 	series 	OPEN 	HIGH 	LOW 	PREV. CLOSE 	ltp 	close 	vwap 	52W H 	52W L 	VOLUME 	VALUE 	No of trades 
05-Mar-24	EQ	"3,325.30"	"3,334.00"	"3,295.05"	"3,317.15"	"3,328.00"	"3,310.20"	"3,314.16"	"3,350.00"	"1,573.00"	"11,90,416"	"3,94,52,24,169.30"	"68,687"
04-Mar-24	EQ	"3,335.00"	"3,350.00"	"3,310.05"	"3,333.25"	"3,320.95"	"3,317.15"	"3,325.35"	"3,350.00"	"1,573.00"	"10,61,244"	"3,52,90,12,588.20"	"59,907"
02-Mar-24	EQ	"3,332.00"	"3,348.70"	"3,321.50"	"3,318.75"	"3,332.50"	"3,333.25"	"3,333.12"	"3,348.70"	"1,103.75"	"1,19,511"	"39,83,43,988.75"	"9,160"
01-Mar-24	EQ	"3,309.85"	"3,346.00"	"3,281.80"	"3,285.40"	"3,321.50"	"3,318.75"	"3,314.26"	"3,346.00"	"1,103.75"	"11,61,067"	"3,84,80,76,358.25"	"64,364"
29-Feb-24	EQ	"3,220.05"	"3,304.75"	"3,205.35"	"3,219.00"	"3,299.90"	"3,285.40"	"3,260.07"	"3,344.00"	"1,103.75"	"13,52,988"	"4,41,08,31,106.00"	"95,429"
28-Feb-24	EQ	"3,309.20"	"3,318.80"	"3,207.50"	"3,302.30"	"3,218.90"	"3,219.00"	"3,252.19"	"3,344.00"	"1,103.75"	"13,58,879"	"4,41,93,38,030.60"	"98,070"
27-Feb-24	EQ	"3,339.00"	"3,340.00"	"3,273.00"	"3,327.75"	"3,296.00"	"3,302.30"	"3,306.04"	"3,344.00"	"1,103.75"	"11,25,570"	"3,72,11,77,336.10"	"65,439"
26-Feb-24	EQ	"3,272.00"	"3,344.00"	"3,263.00"	"3,273.30"	"3,328.00"	"3,327.75"	"3,318.26"	"3,344.00"	"1,103.75"	"16,95,378"	"5,62,57,07,089.65"	"1,04,868"
23-Feb-24	EQ	"3,263.05"	"3,319.95"	"3,225.10"	"3,263.05"	"3,273.05"	"3,273.30"	"3,281.89"	"3,319.95"	"1,103.75"	"19,75,035"	"6,48,18,55,202.20"	"84,335"
22-Feb-24	EQ	"3,239.00"	"3,274.00"	"3,210.50"	"3,223.20"	"3,261.30"	"3,263.05"	"3,236.68"	"3,308.60"	"1,103.75"	"11,38,722"	"3,68,56,76,235.05"	"88,963"
21-Feb-24	EQ	"3,238.00"	"3,300.00"	"3,205.00"	"3,228.60"	"3,226.95"	"3,223.20"	"3,258.00"	"3,308.60"	"1,103.75"	"16,57,021"	"5,39,85,71,886.00"	"1,05,900"
20-Feb-24	EQ	"3,267.00"	"3,269.80"	"3,210.15"	"3,258.80"	"3,235.00"	"3,228.60"	"3,238.23"	"3,308.60"	"1,103.75"	"14,67,630"	"4,75,25,17,820.15"	"61,717"
19-Feb-24	EQ	"3,240.00"	"3,308.60"	"3,235.80"	"3,223.60"	"3,265.00"	"3,258.80"	"3,275.82"	"3,308.60"	"1,103.75"	"17,79,444"	"5,82,91,41,012.10"	"87,952"
16-Feb-24	EQ	"3,214.00"	"3,252.30"	"3,192.65"	"3,193.80"	"3,223.20"	"3,223.60"	"3,221.58"	"3,277.95"	"1,103.75"	"21,93,673"	"7,06,71,00,536.90"	"84,990"
15-Feb-24	EQ	"3,219.85"	"3,252.75"	"3,184.05"	"3,207.20"	"3,190.40"	"3,193.80"	"3,214.66"	"3,277.95"	"1,103.75"	"20,35,204"	"6,54,24,84,814.65"	"90,530"
14-Feb-24	EQ	"3,184.00"	"3,255.25"	"3,169.85"	"3,178.45"	"3,202.00"	"3,207.20"	"3,212.71"	"3,277.95"	"1,103.75"	"17,41,264"	"5,59,41,82,379.70"	"1,01,676"
